,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,tura,57.79,-152.41,283.15,87,90,5.1,US,1592679990
94,tura,64.25,-15.21,283.94,92,70,2.73,IS,1592679990
95,tura,-27.61,-48.5,303.15,45,0,6.2,BR,1592679741
96,tura,62.46,-114.35,297.59,39,20,9.3,CA,1592679990
97,tura,71.92,114.08,295.65,44,100,2.09,RU,1592679991
98,tura,8.11,-77.73,304.8,64,64,1.67,PA,1592679741
99,tura,-21.21,-159.78,295.15,68,100,3.1,CK,1592679779
100,tura,-41.07,145.92,280.93,94,12,1.79,AU,1592679742
101,tura,-13.2,49.05,295.25,89,100,1.58,MG,1592679685
102,tura,65.7,82.47,280.35,86,100,6.94,RU,1592679742
103,tura,-9.6,-35.96,301.15,65,75,7.7,BR,1592679742
104,tura,31.84,71.44,311.44,18,0,5.26,PK,1592679742
105,tura,72.79,-56.15,278.06,77,0,0.86,GL,1592679992
106,tura,40.6,-124.16,295.93,72,20,3.6,US,1592679992
107,tura,37.1,-113.58,307.59,10,1,1.5,US,1592679769
108,tura,-42.88,147.33,281.15,93,90,1.0,AU,1592679992
109,tura,47.15,42.46,295.97,45,89,5.2,RU,1592679743
110,tura,-45.58,-72.07,278.15,86,75,1.5,CL,1592679743
111,tura,43.06,44.74,292.15,82,100,2.0,RU,1592679743
112,tura,-7.3,-70.22,301.81,87,16,1.05,BR,1592679743
113,tura,-33.87,121.9,279.15,87,0,3.1,AU,1592679993
114,tura,71.29,-156.79,274.15,80,90,4.1,US,1592679993
115,tura,-35.17,173.17,284.71,85,46,2.4,NZ,1592679744
116,tura,39.55,-77.02,298.15,88,40,1.5,US,1592679744
117,tura,62.58,6.13,292.15,77,100,1.5,NO,1592679993
118,tura,51.83,143.17,278.26,96,100,3.95,RU,1592679744
119,tura,21.46,-71.14,301.51,78,99,7.68,TC,1592679744
120,tura,-2.53,112.95,296.21,98,84,0.75,ID,1592679745
121,tura,53.57,142.95,277.8,97,100,4.78,RU,1592679745
122,tura,-20.23,164.02,294.47,80,22,5.34,NC,1592679995
123,tura,-24.87,113.63,288.15,87,40,2.6,AU,1592679996
124,tura,5.41,100.34,301.15,94,20,1.5,MY,1592679996
125,tura,-16.48,-151.75,299.7,79,35,4.14,PF,1592679996
126,tura,-21.64,-41.05,301.15,58,0,6.2,BR,1592679996
127,tura,-22.97,-42.03,300.15,69,0,4.6,BR,1592679723
128,tura,63.05,179.32,281.11,56,2,2.22,RU,1592679746
129,tura,53.72,46.07,290.35,86,0,0.33,RU,1592679746
130,tura,38.93,100.45,296.83,37,100,3.59,CN,1592679746
131,tura,42.25,-75.83,302.59,54,20,1.5,US,1592679627
132,tura,61.95,159.23,287.16,69,0,0.73,RU,1592679997
133,tura,71.69,128.87,290.76,44,0,2.37,RU,1592679997
134,tura,-34.53,20.04,288.15,87,92,2.26,ZA,1592679997
135,tura,19.89,102.13,297.38,85,61,0.8,LA,1592679639
136,tura,4.12,43.89,297.93,60,0,8.5,SO,1592679747
137,tura,0.13,117.5,299.22,82,24,1.12,ID,1592679597
138,tura,67.68,53.15,278.58,89,100,10.8,RU,1592679747
139,tura,44.37,-100.35,299.82,60,1,3.6,US,1592679652
140,tura,42.1,-79.24,299.26,54,90,2.1,US,1592679984
141,tura,-41.87,-73.82,282.59,87,20,1.0,CL,1592679998
142,tura,-43.25,-65.31,289.43,33,32,13.3,AR,1592679747
143,tura,51.26,-80.61,291.15,82,90,2.6,CA,1592679998
144,tura,60.75,-137.51,284.21,73,100,1.71,CA,1592679748
145,tura,-11.1,-77.61,293.17,67,7,4.49,PE,1592679748
146,tura,-10.71,-48.42,305.93,38,20,3.6,BR,1592679748
147,tura,59.06,80.86,278.64,66,24,3.94,RU,1592679748
148,tura,-12.38,16.93,285.11,44,0,1.13,AO,1592679748
149,tura,-8.93,125.41,285.81,99,4,1.69,TL,1592679999
150,tura,12.75,4.71,309.35,27,87,2.58,NG,1592679749
151,tura,57.05,-135.33,284.15,87,90,5.7,US,1592679924
152,tura,46.49,135.88,279.99,100,100,1.87,RU,1592680000
153,tura,-38.0,-57.56,287.59,66,100,2.1,AR,1592680000
154,tura,-3.75,103.64,295.23,94,100,0.99,ID,1592679749
155,tura,-33.96,22.46,286.15,100,100,2.6,ZA,1592679749
156,tura,-5.5,-41.32,303.29,50,58,3.25,BR,1592679749
157,tura,48.35,-67.23,293.16,59,100,3.79,CA,1592679749
158,tura,63.44,-20.27,284.15,93,75,11.8,IS,1592679750
159,tura,40.43,71.72,298.15,31,0,3.1,UZ,1592680000
160,tura,44.88,-91.92,292.04,87,75,0.94,US,1592679750
161,tura,11.28,-15.83,301.09,79,97,5.31,GW,1592680001
162,tura,-6.22,-57.75,306.9,39,0,1.8,BR,1592679750
163,tura,-30.18,-50.21,295.25,87,77,1.29,BR,1592680001
164,tura,28.18,-80.59,305.37,70,40,4.6,US,1592679665
165,tura,61.47,128.92,287.18,75,87,0.79,RU,1592679751
166,tura,-8.47,118.72,296.96,88,92,1.71,ID,1592679751
167,tura,7.77,-72.22,306.15,46,40,10.8,VE,1592679626
168,tura,3.17,-52.32,299.49,94,100,1.46,GF,1592679751
169,tura,42.27,118.96,294.4,63,79,4.27,CN,1592679751
170,tura,68.22,-135.01,281.15,100,90,3.1,CA,1592680002
171,tura,25.29,60.64,302.74,83,9,3.51,IR,1592679751
172,tura,-33.92,25.57,286.15,100,0,1.5,ZA,1592680002
173,tura,1.74,98.78,298.9,74,33,1.09,ID,1592680002
174,tura,77.48,-69.36,277.5,71,100,3.5,GL,1592680003
175,tura,66.15,-65.71,277.15,86,40,6.7,CA,1592679610
176,tura,42.43,68.8,298.15,23,0,5.0,KZ,1592679752
177,tura,62.23,-6.59,285.15,93,59,4.6,FO,1592680003
178,tura,25.04,102.72,294.26,93,40,6.0,CN,1592679624
179,tura,59.7,30.79,290.15,51,0,3.0,RU,1592680003
180,tura,-46.13,167.68,277.04,83,57,1.34,NZ,1592680003
181,tura,-10.4,40.33,296.64,74,0,5.86,TZ,1592679753
182,tura,66.77,123.37,291.24,57,0,0.47,RU,1592679988
183,tura,12.18,125.51,301.05,79,98,2.2,PH,1592679597
184,tura,40.31,-88.16,305.15,40,40,5.1,US,1592679753
